Timestamp,Modell 1,Modell 2,"Modell 3 ""Packstation“ mit ""längere Wartezeiten“"
7/26/2021 12:39:48,10,10,7
7/26/2021 13:27:23,6,3,
7/26/2021 15:54:34,9,4,2
7/26/2021 16:21:18,7,3,3
7/26/2021 16:29:04,9,8,6
7/26/2021 16:30:08,7,7,6
7/26/2021 16:45:17,9,8,5
7/26/2021 17:14:21,8,10,9
7/26/2021 17:14:41,9,5,1
7/26/2021 17:24:43,2,5,4
7/26/2021 17:27:18,5,1,5
7/26/2021 17:39:26,9,4,2
7/26/2021 17:39:33,7,8,7
7/26/2021 17:49:33,9,6,8
7/26/2021 17:51:45,8,4,2
7/26/2021 17:52:05,8,4,2
7/26/2021 17:57:30,9,6,4
7/26/2021 17:58:55,10,7,4
7/26/2021 18:01:05,10,1,8
7/26/2021 18:01:36,7,6,3
7/26/2021 18:06:13,10,2,5
7/26/2021 18:11:04,8,9,3
7/26/2021 18:56:18,10,8,5
7/26/2021 19:00:06,9,7,5
7/26/2021 19:23:24,10,7,4
7/26/2021 20:00:10,10,6,5
7/26/2021 20:04:36,6,3,3
7/26/2021 20:11:35,10,3,3
7/26/2021 20:14:12,6,10,10
7/26/2021 20:21:55,10,4,6
7/26/2021 20:23:00,9,5,1
7/26/2021 20:40:24,8,2,5
7/26/2021 20:42:08,10,4,1
7/26/2021 21:02:23,9,3,1
7/26/2021 23:04:12,10,1,2
7/26/2021 23:50:42,10,3,9
7/27/2021 0:20:34,8,6,8
7/27/2021 0:28:20,7,8,10
7/27/2021 8:26:28,1,2,1
7/27/2021 9:30:46,2,3,10
7/27/2021 9:45:10,10,1,1
7/27/2021 11:02:21,4,5,4
7/27/2021 11:06:28,10,7,8
7/27/2021 14:12:58,7,8,5
7/27/2021 14:54:28,7,1,2
7/27/2021 15:31:29,7,8,5
7/27/2021 15:33:15,8,6,9
7/27/2021 15:35:18,1,5,1
7/27/2021 15:50:02,8,3,10
7/27/2021 16:07:02,3,8,6
7/27/2021 17:12:46,10,3,2
7/27/2021 17:34:07,5,1,1
7/27/2021 17:52:10,8,2,2
7/27/2021 19:23:28,1,7,1
7/27/2021 19:42:05,7,3,3
7/27/2021 19:55:24,8,3,10
7/28/2021 6:49:11,8,4,7
7/28/2021 7:47:14,5,9,3
7/28/2021 8:37:31,8,3,3
7/28/2021 9:58:26,10,5,5
7/28/2021 11:01:01,4,10,2
7/28/2021 12:02:58,4,7,1
7/28/2021 15:01:40,10,9,6
7/28/2021 15:32:50,10,3,9
7/28/2021 20:03:18,10,5,6
7/28/2021 21:25:38,10,4,4
7/29/2021 14:18:59,10,7,1
7/29/2021 15:06:02,5,1,1
